X0,D1,D2,D3,L*,L-2d,L-7d,Forecast Load,FW,FS,FL_avg,FL_max,FL_min,Load
1,0.0,0.0,0.0,42.86825,43.373,43.08525,41.5975,1.07125,0.0,56.46484374999999,67.50725,41.5975,42.85125
1,0.0,0.0,0.0,43.16425,43.594,43.66525,41.935,1.08775,0.0,56.46484374999999,67.50725,41.5975,43.285
1,0.0,0.0,0.0,44.8605,45.04275,45.104,43.23775,1.1165,0.0,56.46484374999999,67.50725,41.5975,44.6335
1,0.0,0.0,0.0,48.65225,49.652,49.0835,47.0825,1.1425,0.0,56.46484374999999,67.50725,41.5975,48.39525
1,0.0,0.0,0.0,57.2115,58.3405,57.866,55.8105,1.18125,0.00025,56.46484374999999,67.50725,41.5975,56.89025
1,0.0,0.0,0.0,63.6225,64.30025,62.92825,62.57525,1.2165,0.09175,56.46484374999999,67.50725,41.5975,63.3665
1,0.0,0.0,0.0,65.508,66.5815,64.75475,64.976,1.21,0.9125,56.46484374999999,67.50725,41.5975,65.53
1,0.0,0.0,0.0,65.94475,66.78825,65.098,65.4865,1.14775,2.598,56.46484374999999,67.50725,41.5975,65.58475
1,0.0,0.0,0.0,66.99925,67.7545,65.98425,66.396,1.1325,4.8905,56.46484374999999,67.50725,41.5975,66.707
1,0.0,0.0,0.0,68.00725,68.994,66.2405,67.50725,1.1125,7.105,56.46484374999999,67.50725,41.5975,67.438
1,0.0,0.0,0.0,67.31475,68.41725,65.1055,66.50825,1.11075,8.4485,56.46484374999999,67.50725,41.5975,66.34875
1,0.0,0.0,0.0,66.53175,67.473,53.431,65.16675,1.1365,8.691,56.46484374999999,67.50725,41.5975,64.8645
1,0.0,0.0,0.0,64.6405,66.1385,52.414,63.29875,1.21175,7.8825,56.46484374999999,67.50725,41.5975,62.98575
1,0.0,0.0,0.0,62.93475,64.6765,57.86675,61.4305,1.341,6.178,56.46484374999999,67.50725,41.5975,61.53675
1,0.0,0.0,0.0,61.51225,62.95325,58.7095,60.26025,1.561,3.87175,56.46484374999999,67.50725,41.5975,60.329
1,0.0,0.0,0.0,61.725,62.94175,58.68125,60.053,1.89525,1.65375,56.46484374999999,67.50725,41.5975,60.41175
1,0.0,0.0,0.0,62.722,64.12225,58.92125,60.5955,2.259,0.21775,56.46484374999999,67.50725,41.5975,61.8035
